Team 1,Team 2,Map,Winner,Team 1 Rating,Team 2 Rating,Team 1 KD,Team 2 KD,Team 1 Map Win %,Team 2 Map Win %,Team 1 Pistol Round Win %,Team 2 Pistol Round Win %,Team 1 first kill win %,Team 2 first kill win %,Team 1 first death win %,Team 2 first death win %
Liquid,Luminosity,overpass,Luminosity,1.04,0,1.08,1.14,55.43,54.77,53.41,55.71,76.2,76.6,30.6,30.7
Cloud9,CLG,overpass,Cloud9,1.02,1.02,1.06,1.05,54.03,52.49,53.03,46.05,75.8,77.3,29.2,26.4
CLG,Cloud9,cobblestone,Cloud9,1.02,1.02,1.05,1.06,52.59,55.92,53.7,55.26,73.3,78.0,28.0,30.4
Virtus.pro,FaZe,mirage,FaZe,1.03,0,1.06,0.99,56.25,52.43,55.33,56.25,78.0,74.5,31.5,25.0
FaZe,Virtus.pro,train,FaZe,0,1.03,0.99,1.06,44.77,54.51,35.71,51.28,62.7,77.4,23.0,30.5
Astralis,G2,cache,G2,0,0,1.11,1.01,47.14,51.22,45.83,50.74,67.8,74.7,29.3,27.1
G2,Astralis,inferno,Astralis,0,0,1.01,1.11,51.34,53.31,62.9,40,74.1,74.6,27.3,30.0
Natus Vincere,Astralis,mirage,Astralis,1.03,0,1.07,1.11,55.8,61.04,55.84,43.75,78.7,82.4,30.0,33.7
HellRaisers,mousesports,cache,mousesports,1.01,1.01,1.03,1.04,53.35,55.22,54.76,54.12,75.0,76.8,30.1,32.1
Astralis,mousesports,mirage,Astralis,0,1.01,1.11,1.04,61.04,52.81,43.75,54.17,82.4,76.2,33.7,29.5
dignitas,Astralis,overpass,Astralis,1.02,0,1.05,1.11,52.87,58.29,54.03,63.33,76.5,76.7,29.8,35.7
mousesports,Virtus.pro,dust2,mousesports,1.01,1.03,1.04,1.06,51.93,49.14,53.44,56.52,75.0,72.5,28.2,26.2
FaZe,Luminosity,inferno,FaZe,0,0,0.99,1.14,59.14,57.5,62.5,57.35,77.4,78.7,36.9,30.8
NiP,EnVyUs,mirage,NiP,1.09,1.04,1.16,1.07,51.24,53.31,52.05,53.06,74.8,72.3,27.8,33.8
Cloud9,Luminosity,inferno,Luminosity,1.02,0,1.06,1.14,47.28,57.5,36.46,57.35,70.8,78.7,24.4,30.8
EnVyUs,mousesports,cache,EnVyUs,1.04,1.01,1.07,1.04,55.14,55.22,52.98,54.12,77.3,76.8,31.0,32.1
mousesports,HellRaisers,train,HellRaisers,1.01,1.01,1.04,1.03,46.6,50.89,44.19,46.55,70.6,75.7,24.2,23.9
Natus Vincere,HellRaisers,cobblestone,Natus Vincere,1.03,1.01,1.07,1.03,52.21,51.84,52.11,52.59,73.5,71.4,29.5,32.0
