Team 1, Team 2, Winning Team, Winning Score, Losing Score, Map Played
KoN Finland,KoN,KoN Finland,16,3,dust2
KoN Finland,KoN,KoN Finland,16,6,inferno
E-frag.net,EnVyUs,E-frag.net,22,19,cache
Tempo Storm,Astralis,Astralis,12,16,cache
FaZe,Virtus.pro,Virtus.pro,13,16,mirage
Virtus.pro,E-frag.net,Virtus.pro,16,9,overpass
Tempo Storm,EnVyUs,Tempo Storm,16,7,mirage
Tempo Storm,Virtus.pro,Tempo Storm,16,9,cobblestone
Astralis,FaZe,Astralis,16,5,inferno
FaZe,EnVyUs,EnVyUs,12,16,train
Astralis,E-frag.net,Astralis,16,5,mirage
Tempo Storm,FaZe,FaZe,16,19,dust2
Virtus.pro,EnVyUs,Virtus.pro,16,14,cache
Tempo Storm,E-frag.net,Tempo Storm,16,13,inferno
Astralis,Virtus.pro,Astralis,16,6,overpass
Astralis,EnVyUs,Astralis,16,11,train
FaZe,E-frag.net,FaZe,16,5,cache
mousesports,fnatic,fnatic,17,19,dust2
NiP,Luminosity,NiP,16,13,mirage
TheMongolz,Natus,Natus,6,16,cobblestone
Luminosity,mousesports,Luminosity,16,14,cobblestone
TheMongolz,fnatic,fnatic,4,16,cache
